S.NO.,YEAR,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY
0,2015-16,JAMMU AND KASHMIR,KUPWARA,875564,34.62,843,66.92,54.79,77.1
1,2015-16,JAMMU AND KASHMIR,BARAMULA,1015503,20.34,873,66.93,55.01,77.35
2,2015-16,JAMMU AND KASHMIR,SRINAGAR,1269751,23.56,879,71.21,63.47,77.95
3,2015-16,JAMMU AND KASHMIR,BADGAM,735753,21.18,883,57.98,46.6,68.56
4,2015-16,JAMMU AND KASHMIR,PULWAMA,570060,29.18,913,65,53.81,75.41
5,2015-16,JAMMU AND KASHMIR,ANANTNAG,1070144,37.48,937,64.32,54.15,74.13
6,2015-16,JAMMU AND KASHMIR,LEH (LADAKH),147104,25.48,583,80.48,64.52,89.39
7,2015-16,JAMMU AND KASHMIR,KARGIL,143388,20.18,775,74.49,58.05,86.73
8,2015-16,JAMMU AND KASHMIR,DODA,409576,27.89,922,65.97,50.34,80.36
9,2015-16,JAMMU AND KASHMIR,UDHAMPUR,555357,20.86,863,69.9,58.22,79.93
10,2015-16,JAMMU AND KASHMIR,PUNCH,476820,27.97,890,68.69,54.8,81.04
11,2015-16,JAMMU AND KASHMIR,RAJAURI,619266,28.14,863,68.54,57.2,78.38
12,2015-16,JAMMU AND KASHMIR,JAMMU,1526406,12.48,871,83.98,77.41,89.77
13,2015-16,JAMMU AND KASHMIR,KATHUA,615711,20.38,877,73.5,64.56,81.4
14,2015-16,JAMMU AND KASHMIR,SHOPIAN,265960,25.85,951,62.49,52.77,71.86
15,2015-16,JAMMU AND KASHMIR,BANDIPORA,385099,26.31,911,57.82,46.24,68.41
16,2015-16,JAMMU AND KASHMIR,KISHTWAR,231037,21.06,917,58.54,44.13,71.75
17,2015-16,JAMMU AND KASHMIR,RAMBAN,283313,31.81,901,56.9,40.04,71.97
18,2015-16,JAMMU AND KASHMIR,GANDERBAL,297003,36.3,869,59.99,47.62,70.74
19,2015-16,JAMMU AND KASHMIR,KULGAM,422786,7.3,951,60.35,49.74,70.58
20,2015-16,JAMMU AND KASHMIR,REASI,314714,27.06,891,59.42,47.55,69.93
21,2015-16,JAMMU AND KASHMIR,SAMBA,318611,16.9,886,82.48,74.39,89.76
22,2015-16,HIMACHAL PRADESH,CHAMBA,518844,12.58,989,73.19,62.14,84.19
23,2015-16,HIMACHAL PRADESH,KANGRA,1507223,12.56,1013,86.49,80.62,92.55
24,2015-16,HIMACHAL PRADESH,LAHUL AND SPITI,31528,-5.1,916,77.24,66.5,86.97
25,2015-16,HIMACHAL PRADESH,KULLU,437474,14.65,950,80.14,71.01,88.8
26,2015-16,HIMACHAL PRADESH,MANDI,999518,10.89,1012,82.81,74.33,91.51
27,2015-16,HIMACHAL PRADESH,HAMIRPUR (H,454293,10.08,1096,89.01,83.44,95.28
28,2015-16,HIMACHAL PRADESH,UNA,521057,16.24,977,87.23,81.67,92.75
29,2015-16,HIMACHAL PRADESH,BILASPUR (H,382056,12.08,981,85.67,78.9,92.39
30,2015-16,HIMACHAL PRADESH,SOLAN,576670,15.21,884,85.02,78.02,91.19
31,2015-16,HIMACHAL PRADESH,SIRMAUR,530164,15.61,915,79.98,72.55,86.76
32,2015-16,HIMACHAL PRADESH,SHIMLA,813384,12.58,916,84.55,77.8,90.73
33,2015-16,HIMACHAL PRADESH,KINNAUR,84298,7.61,818,80.77,71.34,88.37
34,2015-16,PUNJAB,GURDASPUR,2299026,9.3,895,81.06,75.73,85.9
35,2015-16,PUNJAB,AMRITSAR,2490891,15.48,884,77.2,72.75,81.2
36,2015-16,PUNJAB,KAPURTHALA,817668,8.37,912,80.18,75.36,84.6
37,2015-16,PUNJAB,JALANDHAR,2181753,11.16,913,82.4,78.31,86.1
38,2015-16,PUNJAB,HOSHIARPUR,1582793,6.85,962,85.43,80.78,89.9
39,2015-16,PUNJAB,NAWANSHAHR,614362,4.58,954,80.33,74.28,86.2
40,2015-16,PUNJAB,RUPNAGAR,683349,8.67,913,83.28,77.17,88.9
41,2015-16,PUNJAB,FATEHGARH SAHIB,599814,11.39,871,80.33,75.53,84.5
42,2015-16,PUNJAB,LUDHIANA,3487882,15,869,82.54,78.16,86.3
43,2015-16,PUNJAB,MOGA,992289,10.9,893,71.59,67.41,75.3
44,2015-16,PUNJAB,FIROZPUR,2026831,16.08,893,69.85,62.24,76.7
45,2015-16,PUNJAB,MUKTSAR,902702,16.1,895,66.79,60.03,72.9
46,2015-16,PUNJAB,FARIDKOT,618008,12.18,889,70.65,64.82,75.9
47,2015-16,PUNJAB,BATHINDA,1388859,17.37,865,69.57,62.92,75.3
48,2015-16,PUNJAB,MANSA,768808,11.62,880,62.78,56.41,68.4
49,2015-16,PUNJAB,SANGRUR,1654408,12.3,883,68.88,62.86,74.2
50,2015-16,PUNJAB,PATIALA,1892282,19.4,888,76.26,70.47,81.4
51,2015-16,PUNJAB,MOHALI,986147,32.02,878,84.87,80.01,89.2
52,2015-16,PUNJAB,TARAN TARAN,1120070,19.28,898,69.43,62.88,75.4
53,2015-16,PUNJAB,BARNALA,596294,13.16,876,68.9,64.14,73.1
54,2015-16,PUNJAB,Fazilka,0,0,0,0,0,0
55,2015-16,PUNJAB,PATHANKOT,0,0,0,0,0,0
56,2015-16,CHANDIGARH,CHANDIGARH,1054686,17.1,818,86.43,81.38,90.54
57,2015-16,UTTARAKHAND,UTTARKASHI,329686,11.75,959,75.98,62.23,89.26
58,2015-16,UTTARAKHAND,CHAMOLI,391114,5.6,1021,83.48,73.2,94.18
59,2015-16,UTTARAKHAND,RUDRAPRAYAG,236857,4.14,1120,82.09,70.94,94.97
60,2015-16,UTTARAKHAND,TEHRI GARHWAL,616409,1.93,1078,75.1,61.77,89.91
61,2015-16,UTTARAKHAND,DEHRADUN,1698560,32.48,902,85.24,79.61,90.32
62,2015-16,UTTARAKHAND,GARHWAL,686527,-1.51,1103,82.59,73.26,93.18
63,2015-16,UTTARAKHAND,PITHORAGARH,485993,5.13,1021,82.93,72.97,93.45
64,2015-16,UTTARAKHAND,BAGESHWAR,259840,5.13,1093,80.69,69.59,93.2
65,2015-16,UTTARAKHAND,ALMORA,621927,-1.73,1142,81.06,70.44,93.57
66,2015-16,UTTARAKHAND,CHAMPAWAT,259315,15.49,981,80.73,68.81,92.65
67,2015-16,UTTARAKHAND,NAINITAL,955128,25.2,933,84.85,78.21,91.09
68,2015-16,UTTARAKHAND,UDHAM SINGH NAGAR,1648367,33.4,919,74.44,65.73,82.48
69,2015-16,UTTARAKHAND,HARDWAR,1927029,33.16,879,74.62,65.96,82.26
70,2015-16,HARYANA,PANCHKULA,558890,19.32,870,83.44,77.48,88.65
71,2015-16,HARYANA,AMBALA,1136784,12.06,882,82.89,76.64,88.47
72,2015-16,HARYANA,YAMUNANAGAR,1214162,16.56,877,78.93,71.99,85.06
73,2015-16,HARYANA,KURUKSHETRA,964231,16.81,889,76.7,69.18,83.46
74,2015-16,HARYANA,KAITHAL,1072861,13.39,880,70.56,60.69,79.33
75,2015-16,HARYANA,KARNAL,1506323,18.22,886,76.44,68.29,83.73
76,2015-16,HARYANA,PANIPAT,1202811,24.33,861,77.46,68.23,85.45
77,2015-16,HARYANA,SONIPAT,1480080,15.71,853,80.83,70.88,89.4
78,2015-16,HARYANA,JIND,1332042,11.95,870,72.73,61.58,82.49
79,2015-16,HARYANA,FATEHABAD,941522,16.79,903,69.13,59.29,78.1
80,2015-16,HARYANA,SIRSA,1295114,15.98,896,70.35,61.16,78.64
81,2015-16,HARYANA,HISAR,1742815,13.38,871,73.24,62.31,82.79
82,2015-16,HARYANA,BHIWANI,1629109,14.32,884,76.74,64.8,87.39
83,2015-16,HARYANA,ROHTAK,1058683,12.61,868,80.37,71.19,88.42
84,2015-16,HARYANA,JHAJJAR,956907,8.73,861,80.83,70.96,89.44
85,2015-16,HARYANA,MAHENDRAGARH,921680,13.43,894,78.87,65.25,91.28
86,2015-16,HARYANA,REWARI,896129,17.09,898,82.23,70.54,92.92
87,2015-16,HARYANA,GURGAON,1514085,73.93,853,84.44,77.64,90.27
88,2015-16,HARYANA,FARIDABAD,1798954,31.75,871,83.04,75.17,89.94
89,2015-16,HARYANA,MEWAT,1089406,37.94,906,56.14,37.58,72.98
90,2015-16,HARYANA,PALWAL,1040493,25.49,879,70.32,56.4,82.6
91,2015-16,DELHI,NORTH WEST DELHI,3651261,27.63,862,84.66,78.76,89.74
92,2015-16,DELHI,NORTH DELHI,883418,13.04,871,86.81,81.92,91.06
93,2015-16,DELHI,NORTH EAST DELHI,2240749,26.73,886,82.8,76.51,88.39
94,2015-16,DELHI,EAST DELHI,1707725,16.68,883,88.75,84.55,92.47
95,2015-16,DELHI,NEW DELHI,133713,-25.35,811,89.38,84.83,93.04
96,2015-16,DELHI,CENTRAL DELHI,578671,-10.48,892,85.25,82.6,87.6
97,2015-16,DELHI,WEST DELHI,2531583,18.91,876,87.12,82.5,91.17
98,2015-16,DELHI,SOUTH WEST DELHI,2292363,30.62,836,88.81,83.07,93.62
99,2015-16,DELHI,SOUTH DELHI,2733752,20.59,859,87.03,80.99,92.2
100,2015-16,RAJASTHAN,GANGANAGAR,1969520,10.06,887,70.25,60.07,79.33
101,2015-16,RAJASTHAN,HANUMANGARH,1779650,17.24,906,68.37,56.91,78.82
102,2015-16,RAJASTHAN,BIKANER,2367745,41.42,903,65.92,53.77,76.9
103,2015-16,RAJASTHAN,CHURU,2041172,6.1,938,67.46,54.25,79.95
104,2015-16,RAJASTHAN,JHUNJHUNUN,2139658,11.81,950,74.72,61.15,87.88
105,2015-16,RAJASTHAN,ALWAR,3671999,22.7,894,71.68,56.78,85.08
106,2015-16,RAJASTHAN,BHARATPUR,2549121,21.32,877,71.16,54.63,85.7
107,2015-16,RAJASTHAN,DHAULPUR,1207293,22.78,845,70.14,55.45,82.53
108,2015-16,RAJASTHAN,KARAULI,1458459,20.57,858,67.34,49.18,82.96
109,2015-16,RAJASTHAN,SAWAI MADHOPUR,1338114,19.79,894,66.19,47.8,82.72
110,2015-16,RAJASTHAN,Dausa,1637226,24.31,904,69.17,52.33,84.54
111,2015-16,RAJASTHAN,JAIPUR,6663971,26.91,909,76.44,64.63,87.27
112,2015-16,RAJASTHAN,SIKAR,2677737,17.04,944,72.98,58.76,86.66
113,2015-16,RAJASTHAN,NAGAUR,3309234,19.25,948,64.08,48.63,78.9
114,2015-16,RAJASTHAN,JODHPUR,3685681,27.69,915,67.09,52.57,80.46
115,2015-16,RAJASTHAN,JAISALMER,672008,32.22,849,58.04,40.23,73.09
116,2015-16,RAJASTHAN,BARMER,2604453,32.55,900,57.49,41.03,72.32
117,2015-16,RAJASTHAN,JALOR,1830151,26.31,951,55.58,38.73,71.83
118,2015-16,RAJASTHAN,SIROHI,1037185,21.86,938,56.02,40.12,71.09
119,2015-16,RAJASTHAN,PALI,2038533,11.99,987,63.23,48.35,78.16
120,2015-16,RAJASTHAN,AJMER,2584913,18.48,950,70.46,56.42,83.93
121,2015-16,RAJASTHAN,TONK,1421711,17.33,949,62.46,46.01,78.27
122,2015-16,RAJASTHAN,BUNDI,1113725,15.7,922,62.31,47,76.52
123,2015-16,RAJASTHAN,BHILWARA,2410459,19.7,969,62.71,47.93,77.16
124,2015-16,RAJASTHAN,RAJSAMAND,1158283,17.35,988,63.93,48.44,79.52
125,2015-16,RAJASTHAN,UDAIPUR,3067549,23.66,958,62.74,49.1,75.91
126,2015-16,RAJASTHAN,DUNGARPUR,1388906,25.39,990,60.78,46.98,74.66
127,2015-16,RAJASTHAN,BANSWARA,1798194,26.58,979,57.2,43.47,70.8
128,2015-16,RAJASTHAN,CHITTAURGARH,1544392,16.09,970,62.51,46.98,77.74
129,2015-16,RAJASTHAN,KOTA,1950491,24.35,906,77.48,66.32,87.63
130,2015-16,RAJASTHAN,BARAN,1223921,19.8,926,67.38,52.48,81.23
131,2015-16,RAJASTHAN,JHALAWAR,1411327,19.57,945,62.13,47.06,76.47
132,2015-16,RAJASTHAN,PRATAPGARH (RAJ,868231,22.84,982,56.3,42.4,70.13
133,2015-16,UTTAR PRADESH,SAHARANPUR,3464228,19.59,887,72.03,63.3,79.77
134,2015-16,UTTAR PRADESH,MUZAFFARNAGAR,4138605,16.8,886,70.11,60,79.11
135,2015-16,UTTAR PRADESH,BIJNOR,3683896,17.64,913,70.43,61.45,78.7
136,2015-16,UTTAR PRADESH,MORADABAD,4773138,25.25,903,58.67,49.63,66.83
137,2015-16,UTTAR PRADESH,RAMPUR,2335398,21.4,905,55.08,46.19,63.1
138,2015-16,UTTAR PRADESH,JYOTIBA PHULE NAGAR,1838771,22.66,907,65.7,53.77,76.53
139,2015-16,UTTAR PRADESH,MEERUT,3447405,15.01,885,74.8,65.69,82.91
140,2015-16,UTTAR PRADESH,BAGHPAT,1302156,11.87,858,73.54,61.22,84.17
141,2015-16,UTTAR PRADESH,GHAZIABAD,4661452,41.66,878,85,81.42,88.16
142,2015-16,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,1674714,39.32,852,82.2,72.78,90.23
143,2015-16,UTTAR PRADESH,BULANDSHAHR,3498507,20.09,892,70.23,56.6,82.52
144,2015-16,UTTAR PRADESH,ALIGARH,3673849,22.78,876,69.61,57.48,80.24
145,2015-16,UTTAR PRADESH,HATHRAS,1565678,17.19,870,73.1,60.79,83.83
146,2015-16,UTTAR PRADESH,MATHURA,2541894,22.53,858,72.65,58.93,84.39
147,2015-16,UTTAR PRADESH,AGRA,4380793,21,859,69.44,59.16,78.32
148,2015-16,UTTAR PRADESH,FIROZABAD,2496761,21.62,867,74.6,64.8,83.08
149,2015-16,UTTAR PRADESH,ETAH,1761152,12.77,863,73.27,61.72,83.21
150,2015-16,UTTAR PRADESH,MAINPURI,1847194,15.69,876,78.26,68.35,86.93
151,2015-16,UTTAR PRADESH,BUDAUN,3712738,20.96,859,52.91,41.76,62.39
152,2015-16,UTTAR PRADESH,BAREILLY,4465344,23.4,883,60.52,50.35,69.47
153,2015-16,UTTAR PRADESH,PILIBHIT,2037225,23.83,889,63.58,52.43,73.46
154,2015-16,UTTAR PRADESH,SHAHJAHANPUR,3002376,17.84,865,61.61,51.73,70.09
155,2015-16,UTTAR PRADESH,KHERI,4013634,25.14,887,62.71,52.62,71.58
156,2015-16,UTTAR PRADESH,SITAPUR,4474446,23.62,879,63.38,52.8,72.61
157,2015-16,UTTAR PRADESH,HARDOI,4091380,20.39,856,68.89,59.17,77.2
158,2015-16,UTTAR PRADESH,UNNAO,3110595,15.19,901,68.29,58.54,77.06
159,2015-16,UTTAR PRADESH,LUCKNOW,4588455,25.79,906,79.33,73.88,84.27
160,2015-16,UTTAR PRADESH,RAE BARELI,3404004,18.51,941,69.04,58.06,79.39
161,2015-16,UTTAR PRADESH,FARRUKHABAD,1887577,20.2,874,70.57,60.51,79.34
162,2015-16,UTTAR PRADESH,KANNAUJ,1658005,19.37,879,74.01,64.46,82.36
163,2015-16,UTTAR PRADESH,ETAWAH,1579160,17.95,867,79.99,71.16,87.64
164,2015-16,UTTAR PRADESH,AURAIYA,1372287,16.3,864,80.25,71.97,87.37
165,2015-16,UTTAR PRADESH,KANPUR DEHAT,1795092,14.82,862,77.52,68.48,85.27
166,2015-16,UTTAR PRADESH,KANPUR NAGAR,4572951,9.72,852,81.31,76.89,85.07
167,2015-16,UTTAR PRADESH,JALAUN,1670718,14.87,865,75.16,63.88,84.89
168,2015-16,UTTAR PRADESH,JHANSI,2000755,14.66,885,76.37,64.88,86.58
169,2015-16,UTTAR PRADESH,LALITPUR,1218002,24.57,905,64.95,52.26,76.41
170,2015-16,UTTAR PRADESH,HAMIRPUR (U,1104021,5.78,860,70.16,57.19,81.27
171,2015-16,UTTAR PRADESH,MAHOBA,876055,23.66,880,66.94,54.65,77.72
172,2015-16,UTTAR PRADESH,BANDA,1799541,17.06,863,68.11,54.95,79.38
173,2015-16,UTTAR PRADESH,CHITRAKOOT,990626,29.29,879,66.52,54.03,77.42
174,2015-16,UTTAR PRADESH,FATEHPUR,2632684,14.05,900,68.78,57.76,78.69
175,2015-16,UTTAR PRADESH,PRATAPGARH,3173752,16.2,994,73.1,60.99,85.29
176,2015-16,UTTAR PRADESH,KAUSHAMBI,1596909,23.49,905,63.69,50.76,75.35
177,2015-16,UTTAR PRADESH,ALLAHABAD,5959798,20.74,902,74.41,62.67,85
178,2015-16,UTTAR PRADESH,BARABANKI,3257983,21.86,908,63.76,54.1,72.49
179,2015-16,UTTAR PRADESH,FAIZABAD,2468371,18.16,961,70.63,60.72,80.21
180,2015-16,UTTAR PRADESH,AMBEDKAR NAGAR,2398709,18.35,976,74.37,64.62,83.95
181,2015-16,UTTAR PRADESH,Sultanpur,3790922,17.92,978,71.14,60.17,81.99
182,2015-16,UTTAR PRADESH,BAHRAICH,3478257,46.08,891,51.1,40.76,60.23
183,2015-16,UTTAR PRADESH,SHRAWASTI,1114615,-5.25,875,49.13,37.07,59.55
184,2015-16,UTTAR PRADESH,BALRAMPUR (U,2149066,27.74,922,51.76,40.92,61.66
185,2015-16,UTTAR PRADESH,GONDA,3431386,24.07,922,61.16,49.13,72.23
186,2015-16,UTTAR PRADESH,SIDDHARTHNAGAR,2553526,25.17,970,61.81,49.61,73.79
187,2015-16,UTTAR PRADESH,BASTI,2461056,18.05,959,69.69,58.35,80.65
188,2015-16,UTTAR PRADESH,SANT KABIR NAGAR,1714300,20.71,969,69.01,56.99,80.72
189,2015-16,UTTAR PRADESH,MAHARAJGANJ,2665292,22.61,938,64.3,50.14,77.62
190,2015-16,UTTAR PRADESH,GORAKHPUR,4436275,17.69,944,73.25,61.54,84.38
191,2015-16,UTTAR PRADESH,KUSHINAGAR,3560830,23.08,955,67.66,54.74,80.1
192,2015-16,UTTAR PRADESH,DEORIA,3098637,14.23,1013,73.53,61.34,86.07
193,2015-16,UTTAR PRADESH,AZAMGARH,4616509,17.17,1017,72.69,62.65,83.08
194,2015-16,UTTAR PRADESH,MAU,2205170,18.94,978,75.16,65.59,84.61
195,2015-16,UTTAR PRADESH,BALLIA,3223642,16.73,933,73.82,61.72,85.19
196,2015-16,UTTAR PRADESH,JAUNPUR,4476072,14.43,1018,73.66,61.7,86.06
197,2015-16,UTTAR PRADESH,GHAZIPUR,3622727,19.26,951,74.27,62.29,85.77
198,2015-16,UTTAR PRADESH,CHANDAULI,1952713,18.83,913,73.86,63.07,83.58
199,2015-16,UTTAR PRADESH,VARANASI,3682194,17.32,909,77.05,68.2,85.12
200,2015-16,UTTAR PRADESH,SAMBHAL (BHIM NAGAR),0,0,0,0,0,0
201,2015-16,UTTAR PRADESH,MIRZAPUR,2494533,17.89,900,70.38,58.77,80.83
202,2015-16,UTTAR PRADESH,SONBHADRA,1862612,27.27,913,66.18,54.11,77.19
203,2015-16,UTTAR PRADESH,BHADOI,1554203,14.81,950,71.1,57.79,83.87
204,2015-16,UTTAR PRADESH,KANSHIRAM NAGAR,1438156,17.05,879,62.3,50.2,72.91
205,2015-16,UTTAR PRADESH,AMETHI - CSM NAGAR,0,0,0,0,0,0
206,2015-16,UTTAR PRADESH,SHAMLI (PRABUDH NAGAR),0,0,0,0,0,0
207,2015-16,UTTAR PRADESH,HAPUR (PANCHSHEEL NAGAR),0,0,0,0,0,0
208,2015-16,BIHAR,PASHCHIM CHAMPARAN,3922780,28.89,906,58.06,46.79,68.16
209,2015-16,BIHAR,PURBA CHAMPARAN,5082868,29.01,901,58.26,47.36,68.02
210,2015-16,BIHAR,SHEOHAR,656916,27.32,890,56,47.25,63.72
211,2015-16,BIHAR,SITAMARHI,3419622,27.47,899,53.53,43.4,62.56
212,2015-16,BIHAR,MADHUBANI,4476044,25.19,925,60.9,48.3,72.53
213,2015-16,BIHAR,SUPAUL,2228397,28.62,925,59.65,46.63,71.65
214,2015-16,BIHAR,ARARIA,2806200,30,921,55.1,45.18,64.15
215,2015-16,BIHAR,KISHANGANJ,1690948,30.44,946,57.04,47.98,65.56
216,2015-16,BIHAR,PURNIA,3273127,28.66,930,52.49,43.19,61.09
217,2015-16,BIHAR,KATIHAR,3068149,28.23,916,53.56,45.37,60.99
218,2015-16,BIHAR,MADHEPURA,1994618,30.65,914,53.78,42.75,63.82
219,2015-16,BIHAR,SAHARSA,1897102,25.79,906,54.57,42.73,65.22
220,2015-16,BIHAR,DARBHANGA,3921971,19,910,58.26,46.88,68.58
221,2015-16,BIHAR,MUZAFFARPUR,4778610,27.54,898,65.68,56.82,73.61
222,2015-16,BIHAR,GOPALGANJ,2558037,18.83,1015,67.04,56.03,78.38
223,2015-16,BIHAR,SIWAN,3318176,22.25,984,71.59,60.35,82.77
224,2015-16,BIHAR,SARAN,3943098,21.37,949,68.57,56.89,79.71
225,2015-16,BIHAR,VAISHALI,3495249,28.58,892,68.56,59.1,77
226,2015-16,BIHAR,SAMASTIPUR,4254782,25.33,909,63.81,53.52,73.09
227,2015-16,BIHAR,BEGUSARAI,2954367,25.75,894,66.23,57.1,74.36
228,2015-16,BIHAR,KHAGARIA,1657599,29.46,883,60.87,52.16,68.51
229,2015-16,BIHAR,BHAGALPUR,3032226,25.13,879,64.96,56.49,72.3
230,2015-16,BIHAR,BANKA,2029339,26.14,907,60.12,49.4,69.76
231,2015-16,BIHAR,MUNGER,1359054,19.45,879,73.3,65.53,80.06
232,2015-16,BIHAR,LAKHISARAI,1000717,24.74,900,64.95,54.89,73.98
233,2015-16,BIHAR,SHEIKHPURA,634927,20.82,926,65.96,54.93,76.14
234,2015-16,BIHAR,NALANDA,2872523,21.18,921,66.41,54.76,77.11
235,2015-16,BIHAR,PATNA,5772804,22.34,892,72.47,63.72,80.28
236,2015-16,BIHAR,BHOJPUR,2720155,21.27,900,72.79,60.2,84.08
237,2015-16,BIHAR,BUXAR,1707643,21.77,922,71.77,59.84,82.78
238,2015-16,BIHAR,KAIMUR (BHABUA),1626900,27.54,919,71.01,59.56,81.49
239,2015-16,BIHAR,ROHTAS,2962593,20.22,914,75.59,64.95,85.29
240,2015-16,BIHAR,JEHANABAD,1124176,21.34,918,68.27,56.24,79.3
241,2015-16,BIHAR,AURANGABAD (BIHAR),2511243,24.75,916,72.77,62.05,82.52
242,2015-16,BIHAR,GAYA,4379383,26.08,932,66.35,55.9,76.02
243,2015-16,BIHAR,NAWADA,2216653,22.49,936,61.63,51.09,71.4
244,2015-16,BIHAR,JAMUI,1756078,25.54,921,62.16,49.44,73.77
245,2015-16,BIHAR,ARWAL,699563,19.01,927,69.54,56.85,81.27
246,2015-16,SIKKIM,NORTH SIKKIM,43354,5.66,769,77.39,69.92,83.03
247,2015-16,SIKKIM,WEST SIKKIM,136299,10.58,941,78.69,72.12,84.86
248,2015-16,SIKKIM,SOUTH SIKKIM,146742,11.57,914,82.06,76.57,87.06
249,2015-16,SIKKIM,EAST SIKKIM,281293,14.79,872,84.67,79.41,89.22
250,2015-16,ARUNACHAL PRADESH,TAWANG,49950,28.33,701,60.61,48.75,68.54
251,2015-16,ARUNACHAL PRADESH,WEST KAMENG,87013,16.64,755,69.4,60.8,75.66
252,2015-16,ARUNACHAL PRADESH,EAST KAMENG,78413,37.14,1012,62.48,54.18,70.95
253,2015-16,ARUNACHAL PRADESH,PAPUM PARE,176385,44.57,950,82.14,76.65,87.33
254,2015-16,ARUNACHAL PRADESH,LOWER SUBANSIRI,82839,48.65,975,76.33,70.1,82.4
255,2015-16,ARUNACHAL PRADESH,UPPER SUBANSIRI,83205,50.34,982,63.96,60.51,67.36
256,2015-16,ARUNACHAL PRADESH,WEST SIANG,112272,8.04,916,67.62,60.76,73.89
257,2015-16,ARUNACHAL PRADESH,EAST SIANG,99019,13.3,962,73.54,67.9,78.94
258,2015-16,ARUNACHAL PRADESH,UPPER SIANG,35289,5.77,891,59.94,55.22,64.09
259,2015-16,ARUNACHAL PRADESH,DIBANG VALLEY,7948,9.3,808,64.8,59.1,69.39
260,2015-16,ARUNACHAL PRADESH,LOHIT,145538,16.44,901,69.88,61.62,77.25
261,2015-16,ARUNACHAL PRADESH,CHANGLANG,147951,17.96,914,61.9,52.08,70.8
262,2015-16,ARUNACHAL PRADESH,TIRAP,111997,11.63,931,52.23,41.83,61.87
263,2015-16,ARUNACHAL PRADESH,KURUNG KUMEY,89717,111.01,1029,50.67,44.31,57.28
264,2015-16,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,53986,7.01,919,70.38,63.56,76.62
265,2015-16,ARUNACHAL PRADESH,Anjaw,21089,13.77,805,59.4,46.39,69.54
266,2015-16,ARUNACHAL PRADESH,LONGDING,0,0,0,0,0,0
267,2015-16,ARUNACHAL PRADESH,NAMSAI,0,0,0,0,0,0
268,2015-16,ARUNACHAL PRADESH,KRA DADI,0,0,0,0,0,0
269,2015-16,ARUNACHAL PRADESH,SIANG,0,0,0,0,0,0
270,2015-16,NAGALAND,MON,250671,-3.83,898,56.6,52.39,60.38
271,2015-16,NAGALAND,TUENSANG,196801,5.81,930,73.7,70.4,76.76
272,2015-16,NAGALAND,MOKOKCHUNG,193171,-16.77,927,92.68,91.74,93.55
273,2015-16,NAGALAND,ZUNHEBOTO,141014,-8.79,981,86.26,83.61,88.86
274,2015-16,NAGALAND,WOKHA,166239,3.11,969,87.6,84.58,90.53
275,2015-16,NAGALAND,DIMAPUR,379769,23.23,916,85.44,82.54,88.07
276,2015-16,NAGALAND,KOHIMA,270063,22.66,927,85.58,81.56,89.28
277,2015-16,NAGALAND,PHEK,163294,10.19,951,79.13,73.5,84.53
278,2015-16,NAGALAND,LONGLENG,74033,-30.54,961,71.1,65.44,75.6
279,2015-16,NAGALAND,KIPHIRE,50593,-58.39,903,73.1,70.35,76.54
280,2015-16,NAGALAND,PEREN,94954,4.61,917,79,73.57,83.96
281,2015-16,MANIPUR,SENAPATI,354972,25.16,939,75,68.8,80.85
282,2015-16,MANIPUR,TAMENGLONG,140143,25.69,953,70.4,63.76,76.74
283,2015-16,MANIPUR,CHURACHANDPUR,271274,19.03,969,84.29,80.13,88.34
284,2015-16,MANIPUR,BISHNUPUR,240363,15.36,1000,76.35,67.29,85.52
285,2015-16,MANIPUR,THOUBAL,420517,15.48,1006,76.66,67.57,85.9
286,2015-16,MANIPUR,IMPHAL WEST,514683,15.82,1029,86.7,80.71,92.93
287,2015-16,MANIPUR,IMPHAL EAST,452661,14.63,1011,82.81,75.92,89.86
288,2015-16,MANIPUR,UKHRUL,183115,30.07,948,81.87,77.47,86.05
289,2015-16,MANIPUR,CHANDEL,144028,21.72,932,70.85,63.26,77.93
290,2015-16,MIZORAM,MAMIT,85757,36.59,924,85.96,81.37,90.15
291,2015-16,MIZORAM,KOLASIB,83054,25.92,956,94.54,93.53,95.5
292,2015-16,MIZORAM,AIZAWL,404054,24.07,1009,98.5,98,99.01
293,2015-16,MIZORAM,CHAMPHAI,125370,15.66,981,93.51,92.2,94.8
294,2015-16,MIZORAM,SERCHHIP,64875,20.45,976,98.76,98.28,99.24
295,2015-16,MIZORAM,LUNGLEI,154094,12.29,944,89.4,85.85,92.74
296,2015-16,MIZORAM,LAWNGTLAI,117444,59.53,945,66.41,57.62,74.68
297,2015-16,MIZORAM,SAIHA,56366,-7.68,978,88.41,85.8,91
298,2015-16,TRIPURA,WEST TRIPURA,1724619,12.5,964,88.91,84.76,92.91
299,2015-16,TRIPURA,SOUTH TRIPURA,875144,14.03,957,85.41,79.64,90.94
300,2015-16,TRIPURA,DHALAI,377988,22.78,945,86.82,80.83,92.45
301,2015-16,TRIPURA,NORTH TRIPURA,693281,17.32,967,88.29,84.69,91.77
302,2015-16,TRIPURA,SEPAHIJALA,0,0,0,0,0,0
303,2015-16,TRIPURA,KHOWAI,0,0,0,0,0,0
